CE446,CE343,CE445,,,,,,,,,,,,,
CE449,CE342,CE343,,,,,,,,,,,,,
CE455,CE354/CE354L,,,,,,,,,,,,,,
CE457,CE354/CE354L,,,,,,,,,,,,,,
CE458,CE354/CE354L,,,,,,,,,,,,,,
CE459,CE354/CE354L,,,,,,,,,,,,,,
CE460,CE315/ME315,CE376,,,,,,,,,,,,,
CE474,CE376,,,,,,,,,,,,,,
CE475,CE376,,,,,,,,,,,,,,
CE476,CE376,,,,,,,,,,,,,,
CE480,CE380,,,,,,,,,,,,,,
CE482,CE416,,,,,,,,,,,,,,
CE486,CE380,,,,,,,,,,,,,,
CE487,CE380,,,,,,,,,,,,,,
CE488,CE380,,,,,,,,,,,,,,
CE491,,,,,,,,,,,,,,,
CE492,,,,,,,,,,,,,,,
CE493,CE343,CE376,CE380,CE460,CE354/CE354L,,,,,,,,,,
CE497,,,,,,,,,,,,,,,
CODE122,CODE120/CODE121,,,,,,,,,,,,,,
CODE123,CODE122,CODE120/CODE121,,,,,,,,,,,,,
CODE220,CODE122,CODE123,CODE120/CODE121,,,,,,,,,,,,
CODE221,CODE122,CODE123,CODE220,CODE120/CODE121,,,,,,,,,,,
CODE320,CODE122,CODE123,CODE220,CODE221,CODE120/CODE121,,,,,,,,,,
CODE420,CODE122,CODE123,CODE220,CODE221,CODE320,CODE120/CODE121,,,,,,,,,
CMIS108,,,,,,,,,,,,,,,
CMIS130,,,,,,,,,,,,,,,
CMIS232,CMIS130,,,,,,,,,,,,,,
CMIS234,CMIS130,,,,,,,,,,,,,,
CMIS270,CMIS108,CS108,CS145,,,,,,,,,,,,
CS108,,,,,,,,,,,,,,,
CS145,MATH150,,,,,,,,,,,,,,
CMIS300,CMIS130,,,,,,,,,,,,,,
CMIS310,CMIS130,CMIS270,,,,,,,,,,,,,
CMIS342,ACCT200,CMIS108,,,,,,,,,,,,,
CMIS350,CMIS130,CMIS270,CS145,,,,,,,,,,,,
CMIS351,CMIS130,,,,,,,,,,,,,,
CMIS352,MS251,,,,,,,,,,,,,,
CMIS422,CMIS310,,,,,,,,,,,,,,
CMIS424,CMIS310,,,,,,,,,,,,,,
CMIS426,CMIS310,,,,,,,,,,,,,,
CMIS427,MS251,CMIS130,,,,,,,,,,,,,
CMIS435,CMIS232,CMIS234,,,,,,,,,,,,,
CMIS451,MS251,,,,,,,,,,,,,,
CMIS455,CMIS350,,,,,,,,,,,,,,
CMIS462,CMIS310,,,,,,,,,,,,,,
CMIS468,CMIS310,,,,,,,,,,,,,,
CMIS470,CMIS232,CMIS234,CMIS310,CMIS342,CMIS350,CMIS422,MGMT331,MGMT330,SCM315,MKTG300,,,,,
MGMT331,,,,,,,,,,,,,,,
MGMT330,,,,,,,,,,,,,,,
SCM315,MS251,,,,,,,,,,,,,,
MKTG300,,,,,,,,,,,,,,,
CMIS488,,,,,,,,,,,,,,,
CMIS490,,,,,,,,,,,,,,,
CMIS495,,,,,,,,,,,,,,,
CS111,,,,,,,,,,,,,,,
CS140,MATH120,MATH150,MATH125,MATH145,,,,,,,,,,,
CS150,CS145,CS140,,,,,,,,,,,,,
CS198,,,,,,,,,,,,,,,
CS199,,,,,,,,,,,,,,,
CS234,CS111,CS150,,,,,,,,,,,,,
CS240,CS150,,,,,,,,,,,,,,
CS286,CS150,,,,,,,,,,,,,,
CS298,,,,,,,,,,,,,,,
CS299,,,,,,,,,,,,,,,
CS314,CS286,,,,,,,,,,,,,,
CS321,STAT380,CS234,STAT244,,,,,,,,,,,,
STAT244,MATH120,MATH150,MATH125,MATH145,,,,,,,,,,,
CS325,CS150,CS234,,,,,,,,,,,,,
CS330,CS286,,,,,,,,,,,,,,
CS340,MATH150,CS150,MATH224,,,,,,,,,,,,
MATH224,CS140,,,,,,,,,,,,,,
CS360,,,,,,,,,,,,,,,
CS382,MATH152,CS286,,,,,,,,,,,,,
CS390,,,,,,,,,,,,,,,
CS398,,,,,,,,,,,,,,,
CS399,,,,,,,,,,,,,,,
CS423,CS330,,,,,,,,,,,,,,
CS425,CS314,CS325,CS340,CS360,,,,,,,,,,,
CS434,CS150,CS234,,,,,,,,,,,,,
CS438,CS340,,,,,,,,,,,,,,
CS447,CS286,CS314,CS340,,,,,,,,,,,,
CS454,CS330,MATH224,,,,,,,,,,,,,
CS456,CS340,,,,,,,,,,,,,,
CS463,MATH224,CS447,,,,,,,,,,,,,
CS476,CS340,,,,,,,,,,,,,,
CS482,MATH152,CS150,CS286,,,,,,,,,,,,
CS490,,,,,,,,,,,,,,,
CS495,,,,,,,,,,,,,,,
CS499,CS425,,,,,,,,,,,,,,
CNST111,CHEM121A,MATH150,CNST120,CHEM120A/CHEM124A,,,,,,,,,,,
CNST120,,,,,,,,,,,,,,,
CNST153,,,,,,,,,,,,,,,
CNST199,,,,,,,,,,,,,,,
CNST210,MATH125,CHEM120A/CHEM124A,,,,,,,,,,,,,
CNST211,CHEM121A,MATH125,CHEM131,CNST120,CHEM120A/CHEM124A,,,,,,,,,,
CNST231,CNST120,,,,,,,,,,,,,,
CNST241,MATH150,PHYS131/PHYS131L,,,,,,,,,,,,,
CNST261,CNST153,CNST231,,,,,,,,,,,,,
CNST271,CNST153,,,,,,,,,,,,,,
CNST299,,,,,,,,,,,,,,,
CNST303,CNST153,CNST231,,,,,,,,,,,,,
CNST321,PHYS131/PHYS131L,,,,,,,,,,,,,,
CNST332,CNST210,PHYS131/PHYS131L,,,,,,,,,,,,,
CNST341,CNST211,,,,,,,,,,,,,,
CNST351,CNST210,CNST241,,,,,,,,,,,,,
CNST353,,,,,,,,,,,,,,,
CNST361,CNST261,CNST303,,,,,,,,,,,,,
CNST371,,,,,,,,,,,,,,,
CNST399,,,,,,,,,,,,,,,
CNST403,CNST341,CNST353,,,,,,,,,,,,,
CNST411,CNST231,CNST341,,,,,,,,,,,,,
CNST415,CNST341,,,,,,,,,,,,,,
CNST422,,,,,,,,,,,,,,,
CNST425,CNST111,CNST211,,,,,,,,,,,,,
CNST432,CNST261,CNST303,CNST341,,,,,,,,,,,,
CNST442,,,,,,,,,,,,,,,
CNST452,CNST361,CNST371,CNST403,FIN320,CNST451/CNST451L,,,,,,,,,,
FIN320,ACCT200,MS251,,,,,,,,,,,,,
CNST461,STAT244,,,,,,,,,,,,,,
CNST463,,,,,,,,,,,,,,,
CNST464,CNST231,CNST341,,,,,,,,,,,,,
CNST470,CNST341,,,,,,,,,,,,,,
CNST481,CNST271,,,,,,,,,,,,,,
CNST483,CNST481,,,,,,,,,,,,,,
CNST485,CNST361,,,,,,,,,,,,,,
