AEROENG2001,,,,,,,,,,,,,,
BIOSCI3001,,,,,,,,,,,,,,
CHEMENG3210/CERENG3110/BIOSCI3110,,,,,,,,,,,,,,
BIOSCI3233,BIOSCI2223,,,,,,,,,,,,,
BIOSCI3313,BIOSCI2213,CHEM1320,,,,,,,,,,,,
BIOSCI3319,BIOSCI3313,,,,,,,,,,,,,
BIOSCI3333,BIOSCI1113,BIOSCI1213,BIOSCI2213,,,,,,,,,,,
BIOSCI3339,BIOSCI3333,,,,,,,,,,,,,
BIOSCI3343,BIOSCI1113,BIOSCI1213,BIOSCI2213,,,,,,,,,,,
BIOSCI3349,BIOSCI3343,,,,,,,,,,,,,
BIOSCI3353,BIOSCI1223,BIOSCI1229,,,,,,,,,,,,
BIOSCI3359,BIOSCI3333,BIOSCI3343,,,,,,,,,,,,
BIOSCI3363,BIOSCI1113,BIOSCI1213,BIOSCI1223,,,,,,,,,,,
BIOSCI3383,BIOSCI1113,BIOSCI1213,BIOSCI2383,BIOSCI2389,,,,,,,,,,
BIOSCI3483,BIOSCI3333,BIOSCI3343,,,,,,,,,,,,
BIOSCI3783,,,,,,,,,,,,,,
BIOSCI4001,,,,,,,,,,,,,,
BIOSCI4010,,,,,,,,,,,,,,
BIOSCI4099,,,,,,,,,,,,,,
BIOSCI4313,BIOSCI3313,,,,,,,,,,,,,
BIOSCI4316,BIOSCI3313,,,,,,,,,,,,,
BIOSCI4323,BIOSCI2213,BIOSCI2223,,,,,,,,,,,,
BIOSCI4329,BIOSCI4323,,,,,,,,,,,,,
BIOSCI4353,BIOSCI2213,,,,,,,,,,,,,
BIOSCI4363,BIOSCI2263,,,,,,,,,,,,,
BIOSCI4369,BIOSCI4363,,,,,,,,,,,,,
BIOSCI4373,BIOSCI2213,,,,,,,,,,,,,
BIOSCI4383,BIOSCI2213,,,,,,,,,,,,,
BIOSCI4423,BIOSCI2213,BIOSCI3313,,,,,,,,,,,,
BIOSCI4433,BIOSCI4323,,,,,,,,,,,,,
BIOSCI4533,BIOSCI2213,,,,,,,,,,,,,
BIOSCI4563,BIOSCI2263,,,,,,,,,,,,,
BIOSCI4663,BIOSCI1113,BIOSCI1213,,,,,,,,,,,,
BIOSCI4666,BIOSCI2213,BIOSCI2223,,,,,,,,,,,,
BIOSCI4900,,,,,,,,,,,,,,
BIOSCI4901,,,,,,,,,,,,,,
BIOSCI4902,,,,,,,,,,,,,,
BIOSCI4903,,,,,,,,,,,,,,
BIOSCI4904,,,,,,,,,,,,,,
BIOSCI4905,,,,,,,,,,,,,,
BIOSCI4906,,,,,,,,,,,,,,
BIOSCI5000,,,,,,,,,,,,,,
BIOSCI5001,,,,,,,,,,,,,,
BIOSCI5010,,,,,,,,,,,,,,
BIOSCI5020,,,,,,,,,,,,,,
BIOSCI5040,,,,,,,,,,,,,,
BIOSCI5099,,,,,,,,,,,,,,
MSE5310/BIOSCI5210/CHEMENG5200,,,,,,,,,,,,,,
MSE5210/BIOSCI5240,,,,,,,,,,,,,,
BIOSCI5313,ENVENG2601/CIVENG2601,BIOSCI3313,,,,,,,,,,,,
COMPSCI5700/BIOSCI5323,COMPSCI1971,BIOSCI1113,BIOSCI1213,COMPSCI1981,COMPSCI1570/COMPSCI1580,,,,,,,,,
COMPSCI1981,COMPSCI1971,,,,,,,,,,,,,
BIOSCI5343,BIOSCI2213,,,,,,,,,,,,,
BIOSCI5353,BIOSCI2213,,,,,,,,,,,,,
BIOSCI5393,BIOSCI2213,BIOSCI2223,BIOSCI3313,,,,,,,,,,,
BIOSCI5423,BIOSCI2263,,,,,,,,,,,,,
BIOSCI5443,BIOSCI2223,BIOSCI3233,,,,,,,,,,,,
BIOSCI5453,BIOSCI2263,,,,,,,,,,,,,
BIOSCI5493,CHEM1310,BIOSCI1113,BIOSCI1213,BIOSCI2213,CHEM1320,BIOSCI3313,CHEM2210,,,,,,,
CHEM2210,CHEM1319,CHEM1310,CHEM1320,,,,,,,,,,,
BIOSCI5523,BIOSCI1113,BIOSCI1213,BIOSCI1219,BIOSCI1223,BIOSCI1229,,,,,,,,,
BIOSCI5533,BIOSCI2213,,,,,,,,,,,,,
BUS1000,,,,,,,,,,,,,,
BUS1001,,,,,,,,,,,,,,
BUS1110,,,,,,,,,,,,,,
BUS1210,,,,,,,,,,,,,,
BUS1414,,,,,,,,,,,,,,
BUS1810,,,,,,,,,,,,,,
BUS1811,,,,,,,,,,,,,,
BUS2000,,,,,,,,,,,,,,
BUS2001,,,,,,,,,,,,,,
BUS2002,,,,,,,,,,,,,,
BUS2910,,,,,,,,,,,,,,
BUS3000,,,,,,,,,,,,,,
BUS3105,,,,,,,,,,,,,,
BUS3115,,,,,,,,,,,,,,
BUS3205,,,,,,,,,,,,,,
BUS3220,BUS1210,ENGMGT2211,,,,,,,,,,,,
ENGMGT2211,ENGMGT1210,,,,,,,,,,,,,
BUS3305,,,,,,,,,,,,,,
BUS3705,,,,,,,,,,,,,,
BUS3805,,,,,,,,,,,,,,
BUS4000,,,,,,,,,,,,,,
BUS4001,,,,,,,,,,,,,,
BUS4099,,,,,,,,,,,,,,
BUS4675,,,,,,,,,,,,,,
BUS4970,,,,,,,,,,,,,,
BUS4980,BUS4970,,,,,,,,,,,,,
BUS5000,,,,,,,,,,,,,,
BUS5001,,,,,,,,,,,,,,
BUS5040,,,,,,,,,,,,,,
BUS5080,,,,,,,,,,,,,,
BUS5085,,,,,,,,,,,,,,
BUS5099,,,,,,,,,,,,,,
BUS5105,,,,,,,,,,,,,,
BUS5111,,,,,,,,,,,,,,
BUS5115,,,,,,,,,,,,,,
MKT5150/BUS5150,ENGMGT3510,MKT3110,MKT3105,,,,,,,,,,,
ENGMGT3510,ENGMGT2110,,,,,,,,,,,,,
MKT3110,,,,,,,,,,,,,,
MKT3105,,,,,,,,,,,,,,
BUS5205,,,,,,,,,,,,,,
BUS5230,BUS1210,,,,,,,,,,,,,
