CER ENG 3230  Thermodynamics of Materials (LEC 3.0)
CER ENG 3240  Applied Glass Forming (LAB 1.0 and LEC 1.0)
CER ENG 3315  Ceramic Processing Lab I (LAB 2.0)
CER ENG 3325  Ceramic Processing Lab II (LAB 2.0)
CER ENG 3410  Characterization Of Inorganic Solids (LEC 3.0)
CER ENG 4000  Special Problems (IND 0.0-6.0)
CER ENG 4001  Special Topics (LAB 0.0 and LEC 0.0)
CER ENG 4096  Materials Senior Design I (LEC 3.0)
CER ENG 4097  Materials Senior Design II (LAB 3.0)
CER ENG 4099  Undergraduate Research (IND 0.0-6.0)
CER ENG 4220  Mechanical Properties Of Ceramics (LEC 3.0)
CER ENG 4230  Introduction to Composite Materials (LEC 3.0)
CER ENG 4240  Electrical Properties Of Ceramics (LEC 3.0)
CER ENG 4250  Thermal Properties Of Ceramics (LEC 3.0)
CER ENG 4310  Ceramic Processing (LEC 3.0)
CER ENG 4410  Introduction to Integrated Computational Materials Engineering (LAB 1.0 and LEC 2.0)
CER ENG 4510  International Engineering and Design (LEC 3.0)
CER ENG 5000  Special Problems (IND 0.0-6.0)
CER ENG 5001  Special Topics (LEC 0.0-6.0)
CER ENG 5002  Cooperative Training (IND 1.0-3.0)
CER ENG 5040  Oral Examination (IND 0.0)
CER ENG 5099  Research (IND 0.0-15)
CER ENG 5115  X-Ray Diffraction Analysis (LAB 1.0 and LEC 2.0)
CER ENG 5220  Advanced Mechanical Properties of Ceramics (LAB 1.0 and LEC 3.0)
CER ENG 5230  Glass Science And Engineering (LEC 3.0)
CER ENG 5250  Refractories (LEC 3.0)
CER ENG 5260  Dielectric And Electrical Properties Of Oxides (LEC 3.0)
CER ENG 5310  Advanced Ceramic Processing (LEC 3.0)
CER ENG 5810  Principles Of Engineering Materials (LEC 3.0)
CHEM ENG 2001  Special Topics (LAB 0.0 and LEC 0.0)
CHEM ENG 2100  Chemical Engineering Material & Energy Balances (LEC 4.0)
CHEM ENG 2110  Chemical Engineering Thermodynamics I (LEC 3.0)
CHEM ENG 3000  Special Problems (IND 0.0-6.0)
CHEM ENG 3001  Special Topics (IND 0.0-6.0)
CHEM ENG 3002  Cooperative Engineering Training (IND 0.0-6.0)
CHEM ENG 3101  Fundamentals of Transport in Chemical and Biochemical Engineering (LEC 4.0)
CHEM ENG 3111  Numerical Computing in Chemical and Biochemical Engineering (LEC 3.0)
CHEM ENG 3120  Chemical Engineering Thermodynamics II (LEC 3.0)
CHEM ENG 3131  Separations in Chemical and Biochemical Engineering (LEC 3.0)
CHEM ENG 3141  Process Operations in Chemical and Biochemical Engineering (LEC 3.0)
CHEM ENG 3150  Chemical Engineering Reactor Design (LEC 3.0)
CHEM ENG 3200  Biochemical Separations (LEC 3.0)
CHEM ENG 3210  Introduction to Biomedical Engineering (LEC 3.0)
CHEM ENG 4000  Special Problems (IND 0.0-6.0)
CHEM ENG 4001  Special Topics (LEC 3.0)
CHEM ENG 4091  Chemical Process Design I (LEC 3.0)
CHEM ENG 4097  Chemical Process Design II (LEC 3.0)
CHEM ENG 4099  Undergraduate Research (IND 0.0-6.0)
CHEM ENG 4101  Chemical Engineering Laboratory I (LAB 2.0 and LEC 1.0)
CHEM ENG 4110  Chemical Engineering Process Dynamics And Control (LEC 3.0)
CHEM ENG 4130  Chemical Engineering Laboratory II (LAB 2.0 and LEC 1.0)
CHEM ENG 4140  Chemical Process Safety (LEC 3.0)
CHEM ENG 4150  Chemical Process Flowsheeting (LAB 1.0 and LEC 2.0)
CHEM ENG 4200  Biochemical Separations Laboratory (LAB 2.0)
CHEM ENG 4201  Biochemical Separations and Control Laboratory (LAB 2.0 and LEC 1.0)
CHEM ENG 4210  Biochemical Reactors (LEC 3.0)
CHEM ENG 4220  Biochemical Reactor Laboratory (LAB 2.0 and LEC 1.0)
CHEM ENG 4241  Process Safety in the Chemical and Biochemical Industries (LEC 3.0)
CHEM ENG 4301  Chemical Process Materials (LEC 1.0)
CHEM ENG 4310  Interdisciplinary Problems In Manufacturing Automation (LAB 1.0 and LEC 2.0)
CHEM ENG 4311  Professional Practice And Ethics (LEC 1.0)
CHEM ENG 5000  Special Problems (IND 0.0-6.0)
CHEM ENG 5001  Special Topics (LAB 0.0 and LEC 0.0)
CHEM ENG 5010  Seminar (RSD 0.0-6.0)
CHEM ENG 5040  Oral Examination (IND 0.0)
CHEM ENG 5100  Intermediate Transport Phenomena (LEC 3.0)
CHEM ENG 5110  Intermediate Chemical Reactor Design (LEC 3.0)
CHEM ENG 5120  Interfacial Phenomena In Chemical Engineering (LEC 3.0)
CHEM ENG 5130  Risk Assessment and Reduction (LEC 3.0)
CHEM ENG 5150  Intermediate Process Computing (LAB 1.0 and LEC 2.0)
CHEM ENG 5161  Intermediate Molecular Engineering (LEC 3.0)
CHEM ENG 5170  Physical Property Estimation (LEC 3.0)
CHEM ENG 5190  Plantwide Process Control (LEC 3.0)
CHEM ENG 5200  Biomaterials I (LEC 3.0)
CHEM ENG 5210  Intermediate Biochemical Reactors (LEC 3.0)
CHEM ENG 5220  Intermediate Engineering Thermodynamics (LEC 3.0)
CHEM ENG 5250  Isolation and Purification of Biologicals (LEC 3.0)
CHEM ENG 5300  Principles Of Engineering Materials (LEC 3.0)
CHEM ENG 5305  Hazardous Materials Management (LEC 3.0)
CHEM ENG 5310  Structure and Properties of Polymers (LEC 3.0)
CHEM ENG 5315  Corrosion and Its Prevention (LEC 3.0)
CHEM ENG 5320  Introduction to Nanomaterials (LEC 3.0)
CHEM ENG 5325  Carbon Capture Process Engineering (LEC 3.0)
CHEM ENG 5330  Alternative Fuels (LEC 3.0)
CHEM ENG 5340  Principles of Environmental Monitoring (LEC 3.0)
CHEM ENG 5350  Environmental Chemodynamics (LEC 3.0)
"CHEM ENG 5355  Process Control System Safety, Security and Alarms (LEC 3.0)"
CHEM ENG 5810  Introduction to Polymeric Materials (LEC 3.0)
CHEM 1000  Special Problems (IND 0.0-6.0)
CHEM 1001  Special Topics (IND 0.0-6.0)
CHEM 1100  Introduction To Laboratory Safety & Hazardous Materials (LEC 1.0)
CHEM 1110  Orientation for Chemistry Majors (LEC 1.0)
CHEM 1301  Introductory Chemistry (LEC 3.0)
CHEM 1310  General Chemistry I (LEC 2.0 and RSD 2.0)
CHEM 1319  General Chemistry Laboratory (LAB 1.0)
CHEM 1320  General Chemistry II (LEC 3.0)
CHEM 1510  Qualitative Analysis (LAB 2.0)
CHEM 1550  Elementary Quantitative Chemical Analysis (LEC 2.0)
CHEM 1559  Elementary Quantitative Chemical Analysis (LAB 2.0)
CHEM 2000  Special Problems (IND 0.0-6.0)
CHEM 2001  Special Topics (RSD 0.0-6.0)
CHEM 2002  Cooperative Work Training (IND 1.0-3.0)
CHEM 2010  Seminar (IND 0.0-6.0)
CHEM 2100  Master Student (LEC 1.0)
CHEM 2210  Organic Chemistry I (LEC 3.0)
CHEM 2219  Organic Chemistry I Lab (LAB 1.0)
CHEM 2220  Organic Chemistry II (LEC 3.0)
CHEM 2229  Organic Chemistry II Lab (LAB 1.0)
CHEM 2289  Organic Chemistry Lab (LAB 1.0)
CHEM 2310  Inorganic Chemistry I (LEC 3.0)
CHEM 2319  Inorganic Chemistry Laboratory (LAB 1.0)
CHEM 2320  Inorganic Chemistry II (LEC 3.0)
CHEM 2510  Analytical Chemistry I (LAB 1.0 and LEC 3.0)
CHEM 3100  Lab Safety and Environmental Safety (LEC 1.0)
CHEM 3319  MST General Chemistry Lab (LAB 1.0)
CHEM 3410  Chemical Thermodynamics I (LEC 3.0)
CHEM 3419  Physical Chemistry Laboratory I (LAB 1.0)
CHEM 3420  Introduction To Quantum Chemistry (LEC 3.0)
CHEM 3429  Physical Chemistry Laboratory II (LAB 1.0)
CHEM 3430  Chemical Kinetics I (LEC 3.0)
